dataset, pq, instance_GT, instance_pred
large_corridor_25, 91.8, 81.0,91.2, 88.3, 26, 27
large_corridor_50, 92.0, 79.4,89.8, 87.6, 51, 44
large_corridor_100, 92.0, 74.0,82.3, 88.6, 101, 68
large_corridor_500, 87.1, 58.8,69.7, 80.3, 454, 229
old_room_25, 94.0, 80.9,89.6, 89.5, 26, 29
old_room_50, 94.6, 78.3,86.0, 89.8, 51, 37
old_room_100, 94.1, 74.8,84.6, 86.6, 101, 80
old_room_500, 89.1, 60.3,68.9, 83.1, 465, 235
